acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
alsa-card-profiles 1:0.3.63-4
alsa-lib 1.2.8-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
amd-ucode 20221214.f3c283e-1
aom 3.5.0-1
appstream 0.15.6-1
archlinux-keyring 20221220-1
argon2 20190702-4
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
autopep8 1:2.0.1-1
avahi 0.8+22+gfd482a7-3
base 3-1
bash 5.1.016-1
bc 1.07.1-4
binutils 2.39-4
bison 3.8.2-4
blas 3.11.0-1
bluez-libs 5.66-1
boost-libs 1.80.0-3
brotli 1.0.9-9
bubblewrap 0.7.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.86-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
calc 2.14.1.0-1
cantarell-fonts 1:0.303.1-1
catch2-git 3.2.1.r13.gac93f194-1
cblas 3.11.0-1
chromaprint 1.5.1-6
cmake 3.25.1-1
colord 1.4.6-1
colord-sane 1.4.6-1
coreutils 9.1-3
cryptsetup 2.6.0-1
cups 1:2.4.2-3
cups-filters 1.28.16-3
curl 7.87.0-2
dav1d 1.0.0-1
db5.3 5.3.28-2
dbus 1.14.4-1
dconf 0.40.0-2
debugedit 5.0-4
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.18-1
diffutils 3.8-1
dkms 3.0.9-1
dnssec-anchors 20190629-3
double-conversion 3.2.1-1
duktape 2.7.0-5
e2fsprogs 1.46.5-4
efibootmgr 18-1
efivar 38-2
egl-wayland 2:1.1.11-2
eglexternalplatform 1.1-2
eww-wayland 0.4.0-1
expat 2.5.0-1
faac 1.30-3
faad2 2.10.1-1
fakeroot 1.30.1-1
ffmpeg 2:5.1.2-1
ffnvcodec-headers 11.1.5.2-1
file 5.44-1
filesystem 2022.10.18-1
findutils 4.9.0-1
flac 1.4.2-1
flatpak 1:1.15.1-1
flatpak-xdg-utils 1.0.5-1
flex 2.6.4-3
fluidsynth 2.3.1-1
fontconfig 2:2.14.1-2
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fuse3 3.12.0-1
gawk 5.2.1-1
gc 8.2.2-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gcr 3.41.1-3
gcr-4 4.0.0-1
gd 2.3.3-6
gdb 12.1-2
gdb-common 12.1-2
gdbm 1.23-1
gdk-pixbuf2 2.42.10-2
geoclue 2.6.0-3
gettext 0.21.1-2
giflib 5.2.1-2
git 2.39.0-1
glib-networking 1:2.74.0-1
glib2 2.74.4-1
glibc 2.36-6
glibmm 2.66.5-1
glslang 11.13.0-2
gmp 6.2.1-2
gnome-keyring 1:42.1-2
gnome-themes-extra 3.28+r6+g45b1d457-1
gnupg 2.2.40-1
gnutls 3.7.8-4
googledot-cursor-theme 2.0.0-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
graphene 1.10.8-1
graphite 1:1.3.14-2
grep 3.8-2
grim 1.4.0-2
grimblast-git 37c8121-1
groff 1.22.4-7
grub 2:2.06.r403.g7259d55ff-1
gsettings-desktop-schemas 43.0-1
gsm 1.0.22-1
gssdp 1.6.2-1
gst-plugins-bad 1.20.5-2
gst-plugins-bad-libs 1.20.5-2
gst-plugins-base-libs 1.20.5-2
